Benchmark	Advice#	Advice	Pattern	Size	Precision	Concreteness
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, NullDrawingView.addToSelectionAll(Collection;)]	1	0.14285714285714285	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawApplet.view()]	2	0.1746031746031746	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, AbstractCommand.view()]	1	0.275	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumerator.hasNextFigure()]	2	0.04195804195804196	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, JavaDrawViewer.view()]	2	0.19642857142857142	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, NullDrawingView.drawing()]	1	0.05660377358490566	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, DrawingView.addToSelectionAll(FigureEnumeration;)]	2	0.1111111111111111	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumeration.nextFigure()]	2	0.042105263157894736	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, StandardDrawingView.drawing()]	1	0.04285714285714286	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, SingleFigureEnumerator.nextFigure()]	2	0.042105263157894736	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, DrawingView.drawing()]	2	0.04285714285714286	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumerator.<init>(Collection;)]	2	0.05555555555555555	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, AbstractCommand.getDrawingEditor()]	2	0.22916666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.addToSelectionImpl(Figure;)]	2	0.05	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.addToSelectionAll(FigureEnumeration;)]	2	0.16666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureAndEnumerator.hasNextFigure()]	2	0.042105263157894736	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, Drawing.figures()]	1	0.1111111111111111	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, DrawingView.drawing()]	1	0.05660377358490566	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, DrawingView.addToSelectionAll(FigureEnumeration;)]	1	0.14285714285714285	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingEditor.view()]	2	0.19642857142857142	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumeration.hasNextFigure()]	2	0.04195804195804196	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, NullDrawingView.myDrawing]	2	0.05555555555555555	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureAndEnumerator.nextFigure()]	2	0.03169014084507042	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, SingleFigureEnumerator.hasNextFigure()]	2	0.04195804195804196	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumerator.nextFigure()]	2	0.042105263157894736	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, StandardDrawingView.addToSelectionAll(Collection;)]	1	0.14285714285714285	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, NullDrawingView.addToSelectionAll(FigureEnumeration;)]	1	0.14285714285714285	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ReverseFigureEnumerator.nextFigure()]	2	0.042105263157894736	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, StandardDrawingView.addToSelectionAll(FigureEnumeration;)]	1	0.1111111111111111	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, StandardDrawingView.fDrawing]	2	0.04	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawApplication.view()]	2	0.1875	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ReverseFigureEnumerator.hasNextFigure()]	2	0.04195804195804196	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.drawing()]	2	0.04697986577181208	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, GroupCommand.groupFigures()]	1	1.0	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.addToSelection(Figure;)]	2	0.23076923076923078	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingView.clearSelection()]	2	0.16666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Drawing.add(Figure;)]	2	0.14285714285714285	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.clearSelection()]	2	0.13953488372093023	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumeration.reset()]	2	0.2	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.selection()]	2	0.23529411764705882	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ReverseFigureEnumerator.reset()]	2	0.15384615384615385	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingView.addToSelection(Figure;)]	2	0.23076923076923078	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, BouncingDrawing.add(Figure;)]	2	0.08333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Drawing.orphanAll(FigureEnumeration;)]	2	0.5	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.drawing()]	2	0.06862745098039216	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.selection()]	2	0.10714285714285714	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawing.add(Figure;)]	2	0.06666666666666667	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, SingleFigureEnumerator.reset()]	2	0.08	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureAndEnumerator.reset()]	2	0.1111111111111111	0.3333333333333333	
